"Row-names","Symbol","T-C___log2FoldChange","T-C___padj","data","C1","C2","C3","C4","T1","T2","T3","T4"
"ENSRNOG00000000007","Gad1",0.732162722124198,0.160868838398976," ",3.37819882731892,3.53967525712525,3.69733061414405,3.56284765376128,4.35081353870699,4.24138740140882,4.18728436190234,4.06351672784274
"ENSRNOG00000000010","Cbln1",0.545723750173125,0.361502763944181," ",3.61792076470301,3.53967525712525,3.08449104497935,3.56284765376128,4.10185124762578,3.58784966025313,3.96966585806553,4.1818392346777
"ENSRNOG00000000012","Tcf15",-1.0536944819691,NA," ",0.955888976426942,1.33253708570291,0,0,0.719679163848423,0,0,0.777832262941357
"ENSRNOG00000000017","Steap1",-0.0865508057825738,NA," ",0.955888976426942,0,1.31990793961555,0,0.719679163848423,0.756171397546499,1.18611994618132,0
"ENSRNOG00000000024","Hebp1",-0.778298788237546,0.240574882557799," ",3.61792076470301,3.71672909254474,3.85484505935888,4.63217539050778,2.46668202036372,3.21226256974324,3.7817789526848,3.25921712871403
"ENSRNOG00000000033","Tmcc2",0.136271563473474,0.775056593700839," ",5.99920842101933,6.01736460601698,5.52026676928666,4.75285003096457,5.773091942429,6.00872492712489,5.59065549350186,5.89707878549947
"ENSRNOG00000000034","Nuak2",-0.0666245577255152,NA," ",1.52584291029544,2.01324909346388,1.31990793961555,1.66151763179207,1.5560356300827,1.61683158547724,1.18611994618132,1.94793199463306
"ENSRNOG00000000036","Klhdc8a",0.505486050693996,NA," ",1.52584291029544,2.01324909346388,1.99747436360799,1.66151763179207,2.46668202036372,2.15218735069341,1.82814379798016,2.19306633226287
"ENSRNOG00000000040","RGD1304622",0.665929583928142,NA," ",1.93331716602834,2.01324909346388,1.31990793961555,1.66151763179207,2.46668202036372,2.3600873807123,2.06643335096257,2.19306633226287
"ENSRNOG00000000041","Slc26a1",0.594672933584494,NA," ",0,0,1.31990793961555,0,0.719679163848423,0.756171397546499,0.71167093792883,0.777832262941357
"ENSRNOG00000000042","Xpr1",0.283833385611098,0.592904047462224," ",4.16317197066233,4.14591944442505,3.85484505935888,3.80539026725691,4.30433997841122,4.34284398337029,4.2849060364872,4.23754979278758
"ENSRNOG00000000043","Idua",0.101767522756001,0.900360136109481," ",3.91615348986154,3.53967525712525,3.52048668271296,2.90505700106373,3.73221486832675,3.41224416265264,3.90971511485316,3.55069024605896
"ENSRNOG00000000044","Tmem175",0.330881911192707,NA," ",3.09054797792124,2.47387916348192,2.45667615953896,2.41331857269211,3.2339808219747,2.98002973018284,2.75259838798667,2.89355140891824
"ENSRNOG00000000047","Cd82",-0.00712942968926476,0.988773245450107," ",5.40429277896425,5.54081934988015,5.47244071531963,5.66562869282129,5.42770755526459,5.4727201641152,5.51219486141601,5.58977784500778
