Identifier,C1,C2,C3,C4,T1,T2,T3,T4
ENSRNOG00000017237,1.295190924,0.583364976,0.750764398,0.433353138,2.369135807,1.530505282,1.753641372,1.147393902
ENSRNOG00000017065,1.682415988,1.131353116,0.473610437,0.431007292,2.65390748,2.390283811,2.518790032,1.9751678
ENSRNOG00000048020,0,0,0,0,0,0,0,0
ENSRNOG00000058356,0,0,0,0,0,0,0,0
ENSRNOG00000056280,0,0,0,0,0,0,0,0
ENSRNOG00000025273,0.370852205,0.839191289,0.296413405,0.592391802,0.703057001,0.514746113,0.498750452,0.941848956
ENSRNOG00000049880,11.2607453,8.468259033,6.953428957,3.399817425,27.72375869,24.16261765,21.15331633,21.87078404
ENSRNOG00000061416,0,0,0,0,0,0,0,0
ENSRNOG00000059493,0,0.151868573,0.321851869,0,0,0,0.309459236,0
ENSRNOG00000037315,0.117760835,0.116584022,0.274526737,0.235135966,0,0.071510719,0.079186895,0.392536985
ENSRNOG00000056482,0,1.650031522,0,0,0,0,0,0.462969673
ENSRNOG00000016724,45.33362554,26.33769585,26.36939254,15.73093176,136.8203005,111.4524324,110.6897157,99.39676169
ENSRNOG00000041228,0,0,0,0,0,0,0,0
ENSRNOG00000016719,8.446423562,6.317967957,4.89278962,2.984626229,10.63141242,10.91104373,9.362897252,10.89221344
ENSRNOG00000053805,3.608074888,2.918315789,2.803742094,3.757553662,4.600331828,5.584946112,5.185424394,6.288597618
ENSRNOG00000050799,0,0,0,0.152960084,0,0,0,0.212793514
ENSRNOG00000054655,0,0,0,0,0,0,0,0
ENSRNOG00000026817,0,0,0,0.25043973,0,0,0.140567924,0
ENSRNOG00000016196,10.15530057,5.529907502,6.435215332,4.197371908,19.48275285,18.51189271,17.05316851,17.64245814
ENSRNOG00000015906,7.012721473,4.055384332,5.480544751,5.280933089,7.799516394,7.705860804,7.994102913,7.86613887
ENSRNOG00000015733,162.0321906,94.90588184,74.89536194,48.77796982,234.6944644,227.7968545,236.9076602,215.5605439
ENSRNOG00000015278,163.8238798,89.94704686,109.6358322,101.9449121,130.5676462,124.2235895,179.8345778,129.4765513
ENSRNOG00000057701,5.969581872,0.156634135,0.442601899,0.131225081,0.629879132,0.687318633,0.466479108,0.263692614
ENSRNOG00000053478,0,0,0,0,0,0,0,0
ENSRNOG00000014876,7.565490231,3.446762866,3.970074777,2.201713524,15.3035721,14.13591684,14.87064345,11.38399501
ENSRNOG00000054221,0,0,0,0,0,0,0,0
ENSRNOG00000014837,5.817140809,2.345212088,3.206553937,1.808084857,16.54209488,13.74709385,17.49652608,11.74893111
ENSRNOG00000014319,9.571202041,6.438712938,7.220258372,4.809973498,19.10318318,15.50528397,19.33912067,13.53661501
ENSRNOG00000013727,4.318699066,2.850360843,5.033924768,3.707998811,2.758108821,4.032165366,7.114943712,3.089076315
ENSRNOG00000026280,2.691695049,1.042003678,1.1584506,0.888871847,3.812441665,3.11191678,4.142112736,3.565928692
ENSRNOG00000052844,0.263385921,0.504124095,1.326264308,0.294509136,0.34952663,0.223918956,0.389643719,0.263386505
ENSRNOG00000002110,0.419031192,0.449414021,0.732641287,0.292841474,0.278037944,0.12722915,0.140886311,0.465591245
ENSRNOG00000057648,0,0,0,0,0,0,0,0
ENSRNOG00000055077,0,0,0,0,0,0,0,0
ENSRNOG00000059433,0,0,0,0,0.641011762,0,0,0
ENSRNOG00000059265,0,0,0,0,0,0,0,0
ENSRNOG00000053514,0,0,0,0,0,0,0,0
ENSRNOG00000037230,0.41761235,0.597189738,0.71393477,0,0.092365502,0.338128936,0.655243258,1.082701085
ENSRNOG00000049882,8.104329102,4.005082986,8.413432889,3.507453282,18.80776093,12.17012435,15.99999076,15.56992785
ENSRNOG00000037227,16.88217959,12.88585527,13.62549332,11.86822819,18.51439906,18.6486935,19.87333127,19.90459706
ENSRNOG00000049610,0,0,0,0,0,0,0,0
ENSRNOG00000037225,5.981458149,5.223842446,4.732546882,2.50930468,6.975556142,7.337905885,11.61957781,7.048872023
ENSRNOG00000059237,0,0.212870175,0,0,0.428011689,0,0.260256512,0
ENSRNOG00000053409,0,0,0,0,0,0,0,1.070617368
ENSRNOG00000061539,0.508247998,1.17406089,0.414693754,0,1.01170675,1.311701075,1.281620324,1.411803122
ENSRNOG00000057054,1.990064272,1.65397582,2.95539517,0.706419638,0.978117549,2.327431726,0.495627939,2.211187424
ENSRNOG00000040395,0,0,0,0,0,0,0,0
ENSRNOG00000002314,1.309287128,0.496877857,1.393856243,0.191714302,1.911240305,4.37288298,1.482031598,1.721473928
ENSRNOG00000048501,0,0,0,0,0,0,0,0
ENSRNOG00000055317,1.922982948,1.129194608,0.817470293,0.463018731,2.120326202,2.043542854,2.186838959,1.602489341
ENSRNOG00000053864,1.650938903,0.993483546,0.95085686,0.426602061,2.513068946,3.361454241,1.501973802,1.294856911
ENSRNOG00000052005,0,0,0,0,0.204589587,0,0,0
ENSRNOG00000022305,7.093769006,2.673482446,2.292651135,1.673963166,14.04046187,12.75182564,14.09354219,9.494206828
ENSRNOG00000053230,29.5622186,30.54656293,25.96581429,29.14567667,30.96263032,32.27458127,37.19253371,38.28616006
ENSRNOG00000057880,2.404780756,1.340881734,1.224316239,0.838915099,10.69257995,6.596583336,8.364138016,4.468663796
